# Constructed from biom file
#OTU ID	ShConventional	BkConservation	RzConventional	BkConventional	RtConservation	RtConventional	ShConservation	RzConservation
Unassigned;Other	0.000495068853655	0.00177013396458	0.00232799624841	0.00257308451691	0.000561880426494	0.00153723827193	0.00029216726133	0.00122349700353
k__Archaea;p__Crenarchaeota	0.0	0.00036659579148	0.000200978093388	0.000280236927584	1.33781053927e-05	0.0	0.0	0.000227116210236
k__Bacteria;Other	0.0	0.000649398259194	0.000401956186776	0.000598687981657	0.000160537264713	0.000441735135613	0.0	0.000512843055372
k__Bacteria;p__AD3	0.0	0.000638924093723	0.00130635760702	0.00150308897522	0.0	1.76694054245e-05	0.0	0.000278400515774
k__Bacteria;p__Acidobacteria	0.000169365660461	0.120505273742	0.0966034702217	0.10777657474	0.00549840131641	0.0178284300733	0.000203631727594	0.0772634694565
k__Bacteria;p__Actinobacteria	0.226024987949	0.255988604108	0.294918603872	0.319979619133	0.0798405329837	0.224012721972	0.144950375833	0.230999164798
k__Bacteria;p__Armatimonadetes	0.0	0.00224147141077	0.00209352180612	0.00206356283039	0.000949845482883	0.00436434313985	8.85355337365e-06	0.000989054463932
k__Bacteria;p__Bacteroidetes	0.223810206235	0.0592733023996	0.076656394453	0.0500477676581	0.218665132644	0.14338722502	0.321330866143	0.149237329113
k__Bacteria;p__Chlamydiae	0.000195421915916	0.000314224964126	0.000200978093388	0.000280236927584	0.000321074529425	0.000954147892923	0.00304562236053	0.000256421527686
k__Bacteria;p__Chlorobi	0.0	0.00104741654709	0.00135660213037	0.000929877077893	4.01343161781e-05	0.000123685837972	0.0	0.000461558749835
k__Bacteria;p__Chloroflexi	0.00011725314955	0.0562043719167	0.0634420848128	0.0677536462646	0.00284953644865	0.0142592101776	0.000159363960726	0.0375987222882
k__Bacteria;p__Cyanobacteria	0.0	0.00219957474888	0.00115562403698	0.00104451945736	5.35124215709e-05	1.76694054245e-05	0.0	0.000578780019635
k__Bacteria;p__Elusimicrobia	0.0	0.00096362322332	0.000820660548	0.00129928030062	2.67562107854e-05	0.0	0.0	0.000454232420473
k__Bacteria;p__FBP	0.000312675065466	0.000387544122422	0.000468948884572	0.000687854276798	2.67562107854e-05	0.000176694054245	0.00239931296426	0.000402948114935
k__Bacteria;p__Fibrobacteres	0.0	0.000743665748431	0.000887653245796	0.000980829246545	2.67562107854e-05	0.000282710486792	8.85355337365e-06	0.000337011150673
k__Bacteria;p__Firmicutes	0.00128978464505	0.0409435128256	0.0224090574127	0.0303929686007	0.129259254304	0.0191182966693	0.00787080894917	0.0324336600876
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.65606601209e-05	2.19789880874e-05
k__Bacteria;p__GN02	0.0	5.23708273543e-05	6.69926977959e-05	3.82141264888e-05	0.0	1.76694054245e-05	0.0	2.93053174499e-05
k__Bacteria;p__GN04	0.0	2.09483309417e-05	0.000133985395592	0.000152856505955	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	3.90843831833e-05	0.0167481905879	0.015592550412	0.0177440927329	0.000374586950996	0.00171393232618	3.54142134946e-05	0.0101542924964
k__Bacteria;p__Kazan-3B-28	0.0	0.0	3.3496348898e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Nitrospirae	0.0	0.00658825008117	0.00661552890735	0.00527354945545	0.000120402948534	0.00035338810849	1.77071067473e-05	0.00334813251865
k__Bacteria;p__OD1	0.0	0.000576079100898	0.000552689756817	0.000420355391376	0.000374586950996	0.000653768000707	0.0	0.000337011150673
k__Bacteria;p__OP11	0.0	0.0	0.0	2.54760843258e-05	0.0	0.0	0.0	2.19789880874e-05
k__Bacteria;p__OP3	0.0	0.0	3.3496348898e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.000143309405005	0.0381678589758	0.0450693374422	0.0418699445895	0.0040401878286	0.0163795388285	0.00019477817422	0.0273491875101
k__Bacteria;p__Proteobacteria	0.538204984562	0.280288668	0.259378977691	0.249984077447	0.544542401905	0.514780457638	0.508964222791	0.340190777617
k__Bacteria;p__TM6	0.0	0.0	0.0	0.0	1.33781053927e-05	1.76694054245e-05	0.0	7.32632936246e-06
k__Bacteria;p__TM7	0.00209752856417	0.00762519246279	0.00901051785355	0.00952805553786	0.00319736718886	0.0118915098507	0.000442677668682	0.0102495347781
k__Bacteria;p__Tenericutes	0.0	6.28449928252e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia	0.00706124522845	0.0996093136279	0.0916795069337	0.0805553786383	0.00886968387537	0.0274759254351	0.0100487830791	0.0720910809266
k__Bacteria;p__WPS-2	0.0	0.000282802467713	6.69926977959e-05	6.36902108146e-05	0.000160537264713	8.83470271225e-05	0.0	0.000102568611074
k__Bacteria;p__WS2	0.0	0.000230431640359	0.000385208012327	0.00030571301191	0.0	1.76694054245e-05	0.0	0.000131873928524
k__Bacteria;p__WS3	3.90843831833e-05	0.00550941103768	0.00609633549943	0.00584676135278	0.0	3.5338810849e-05	0.0	0.0026741102173
k__Bacteria;p__WS6	0.0	0.0	3.3496348898e-05	0.0	1.33781053927e-05	5.30082162735e-05	0.0	3.66316468123e-05
