# Constructed from biom file																									
#OTU ID	Bn25	Bn26	Bn27	Bn28	Bn29	Bn30	Bn31	Bn32	Bn33	Bn34	Bn35	Bn36	Bn61	Bn62	Bn63	Bn64	Bn65	Bn66	Bn67	Bn68	Bn69	Bn70	Bn71	Bn72	taxonomy
OTU32	2108	1056	40	2	363	1018	1	0	118	1043	2	1	281	593	2	2	192	48	2	0	1182	119	0	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
OTU1	27953	13284	21	21	27335	13647	7	19	35660	15128	8	11	11224	25443	23	16	20189	8465	9	8	13484	11436	5	11	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
OTU8	962	35	182	20	204	38	812	34	1956	34	1920	5	866	80	94	41	1249	35	102	4	876	49	17	3	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU13	4258	28	54	4	540	40	144	9	378	49	423	3	152	4	15	1	118	4	26	0	141	2	0	4	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
OTU2	6241	5293	4	5	6640	5006	3	1	12450	5598	7	1	2788	11779	7	0	4957	3955	5	1	3666	4762	1	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__; s__
OTU771	247	21	257	117	43	24	160	41	190	16	103	17	32	48	90	65	66	41	28	17	42	35	22	36	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU25	5291	406	159	7	645	390	5	0	210	463	94	1	2	3	207	0	23	1	1	0	330	9	1	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Erwinia; s__
OTU38	768	53	24	7	95	58	0	0	31	52	8	0	34	196	0	0	12	0	0	0	383	3	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
OTU156	1949	0	14	2	229	2	133	0	108	4	279	0	67	3	3	1	151	5	2	0	285	102	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae
OTU36	1133	39	75	24	1202	41	62	11	614	42	146	2	341	85	30	13	498	21	17	10	714	12	6	5	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
OTU4	4810	488	157	36	2051	501	291	19	2297	537	373	14	1127	822	84	49	2310	103	70	13	2071	466	13	31	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
OTU29	737	479	139	13	286	461	375	3	527	576	552	0	714	47	80	4	598	12	49	0	887	354	1	2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
OTU85	172	52	43	4	70	43	16	2	270	70	102	1	167	16	10	1	120	10	9	3	141	50	3	5	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU24	482	153	54	9	247	162	22	2	81	149	144	2	489	190	16	22	315	55	7	1	305	99	2	8	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__
OTU20	610	1309	180	63	352	1380	385	10	142	1678	227	10	124	1127	1	26	253	10	4	0	304	357	4	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
OTU70	688	28	289	122	68	31	178	81	230	35	335	39	88	26	141	56	60	28	13	22	218	63	68	67	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__
OTU11	214	269	2696	513	172	314	501	260	88	315	1301	174	105	108	470	674	63	95	219	239	82	63	329	457	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__
OTU6	355	401	281	57	6449	316	84	14	286	457	574	13	39	1924	22	11	1323	17	15	3	330	225	58	16	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
