Unassigned;Other	k__Archaea;p__Crenarchaeota	k__Bacteria;Other	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Kazan-3B-28	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OD1	k__Bacteria;p__OP3	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS6	Group
0	0	0	0	0	788	0	1251	3	0	0	0	0	2	0	113	0	0	0	0	0	0	0	0	3925	3	0	106	0	0	0	0	Sh-ST
2	0	0	0	28	513	10	1316	2	0	18	2	0	1	0	835	0	0	1	0	2	1	0	18	3369	24	0	49	0	0	0	0	Rt-ST
6	0	5	5	523	1876	6	465	1	3	327	5	5	7	3	286	0	0	100	0	33	2	0	229	1719	53	0	510	1	0	21	0	Rz-ST
11	3	2	5	712	1653	16	317	2	5	349	9	5	1	0	334	0	0	87	0	29	3	0	267	1752	57	0	536	1	0	35	0	Bk-ST
0	0	0	0	1	711	0	2621	1	0	0	0	0	1	0	15	0	0	1	0	0	0	0	0	2834	1	0	5	0	0	0	0	Sh-ST
4	0	1	0	38	501	6	1288	1	0	13	0	1	0	0	876	0	0	0	0	0	1	0	40	3334	24	0	62	0	0	0	1	Rt-ST
4	2	2	0	462	955	4	1153	0	0	161	2	2	2	2	89	0	0	52	0	15	3	0	145	2547	93	0	487	0	1	8	0	Rz-ST
10	1	3	6	870	1455	14	366	1	7	324	10	6	4	6	180	0	0	116	0	51	11	0	209	1757	44	0	697	3	1	39	0	Bk-ST
6	0	0	0	1	1086	0	2122	60	0	4	0	0	44	0	18	0	0	0	0	0	0	0	7	2796	7	0	40	0	0	0	0	Sh-ST
4	0	1	0	29	473	7	1370	3	0	15	0	0	0	0	740	0	0	4	0	0	6	0	19	3449	9	0	61	1	0	0	0	Rt-ST
3	2	5	0	362	1131	5	1473	0	3	154	1	0	1	0	140	0	0	48	0	14	0	0	96	2445	48	0	250	0	1	9	0	Rz-ST
6	5	5	0	712	1700	12	498	2	7	350	52	2	2	6	255	0	2	67	0	34	3	0	217	1602	28	1	586	2	0	35	0	Bk-ST
1	0	0	0	0	1851	0	1187	2	0	0	0	0	6	0	6	0	0	0	0	0	0	0	2	3083	4	0	49	0	0	0	0	Sh-CT
13	0	7	0	133	1351	33	973	6	0	105	0	0	0	2	133	0	0	10	0	3	0	0	86	3116	59	0	158	1	1	1	0	Rt-CT
20	1	1	14	655	1709	10	465	1	4	376	9	0	2	4	112	0	0	97	0	48	2	0	286	1678	51	0	591	0	6	49	0	Rz-CT
15	3	3	15	685	1891	16	284	4	4	400	6	6	7	7	196	0	0	115	0	33	4	0	248	1616	55	0	540	0	4	34	0	Bk-CT
2	0	0	0	0	1268	0	1499	2	0	0	0	0	1	0	15	0	0	0	0	0	0	0	1	3364	17	0	22	0	0	0	0	Sh-CT
9	0	0	0	108	1808	20	677	7	3	91	0	0	3	2	78	0	0	18	0	4	8	0	107	2945	103	0	197	2	0	1	0	Rt-CT
15	0	5	4	441	1870	13	587	2	4	300	10	1	5	0	141	0	0	92	2	38	1	0	202	1825	99	0	487	0	2	45	0	Rz-CT
14	0	0	12	704	1914	12	278	0	4	370	7	4	8	4	245	0	0	118	0	39	1	0	269	1574	57	0	511	1	4	41	0	Bk-CT
5	0	0	0	3	1232	0	1373	0	0	1	0	0	1	0	13	0	0	0	0	0	0	0	0	3486	18	0	58	0	0	1	0	Sh-CT
4	0	0	0	76	1181	28	811	0	0	71	0	0	2	1	123	0	0	9	0	1	8	0	116	3504	83	0	173	0	0	0	0	Rt-CT
19	3	4	0	498	2192	12	470	2	7	434	4	9	0	7	114	1	5	93	0	27	2	1	263	1482	42	0	474	1	1	23	1	Rz-CT
19	1	4	0	610	2082	10	413	0	9	466	10	12	2	9	127	1	1	106	0	18	3	0	270	1488	64	0	432	0	3	31	0	Bk-CT
