#OTU ID	Bn25	Bn26	Bn29	Bn30	Bn33	Bn34	Bn61	Bn62	Bn65	Bn66	Bn69	Bn70
OTU759	0	3	0	1	0	4	0	6	0	8	0	0
OTU1268	0	0	0	0	0	0	0	1	0	0	0	0
OTU1203	0	0	0	0	0	0	0	3	0	0	0	0
OTU1769	0	0	2	0	1	0	0	0	0	0	0	0
OTU2212	0	0	0	0	0	0	0	1	0	0	0	0
OTU1629	0	1	0	0	0	0	0	3	0	1	0	0
OTU291	4	0	1	0	72	0	0	0	6	1	0	0
OTU2111	0	0	0	1	0	0	0	0	0	0	0	0
OTU1679	0	0	0	0	0	1	0	0	0	0	0	0
OTU904	0	0	0	0	6	0	0	0	1	0	0	0
OTU1851	0	0	0	0	1	0	0	0	0	0	0	0
OTU1762	0	0	0	0	0	0	0	0	1	0	2	0
OTU1131	0	0	0	0	5	0	1	0	1	0	3	0
OTU1690	0	0	0	0	0	0	0	0	0	0	3	0
OTU1803	0	0	0	2	0	0	0	0	0	0	0	0
OTU2008	0	0	0	0	0	0	0	4	0	0	0	0
OTU889	0	0	0	1	0	0	0	0	0	0	0	0
OTU1804	0	0	0	0	0	0	5	0	0	0	0	0
OTU1878	0	0	0	1	0	0	0	0	0	0	0	0
OTU88	30	29	41	22	134	28	154	7	107	27	162	23
OTU769	0	0	0	0	0	0	0	0	0	4	0	0
OTU95	111	118	155	135	38	121	29	35	63	4	30	166
OTU2123	0	0	0	0	0	0	0	2	0	1	0	1
OTU1223	2	0	0	1	0	0	0	0	0	0	1	0
OTU900	0	0	0	0	0	0	0	1	0	0	0	0
OTU2137	0	0	0	0	0	0	0	0	0	2	0	0
OTU1781	0	0	0	0	0	0	0	0	0	0	0	1
OTU1472	0	3	0	0	0	0	0	0	0	0	0	0
OTU656	0	0	0	0	0	0	0	0	0	0	0	1
OTU355	0	0	0	0	0	0	0	2	0	4	0	0
OTU529	0	0	0	0	0	0	0	1	0	0	0	0
OTU658	0	0	0	0	0	1	0	2	0	0	0	0
OTU936	0	0	0	0	0	0	0	0	0	0	0	1
OTU2069	0	0	0	0	0	0	0	0	0	3	0	0
OTU2198	0	0	0	0	0	0	0	0	0	2	0	2
OTU1722	0	0	1	0	0	0	0	0	0	0	0	0
OTU849	0	1	0	1	0	0	0	0	0	0	0	2
OTU1128	0	0	0	0	0	0	0	2	0	0	0	0
OTU1969	0	0	0	0	0	0	0	1	0	0	0	0
OTU812	0	0	0	0	0	0	0	2	0	1	0	0
OTU632	0	0	0	0	0	0	0	0	0	1	0	0
OTU836	0	0	0	1	0	0	0	2	0	0	0	0
OTU803	0	2	1	0	0	1	0	4	0	0	0	2
OTU802	0	2	0	0	0	1	0	0	0	3	0	0
OTU535	0	0	0	0	0	0	0	0	0	1	0	4
OTU1156	0	1	1	0	0	0	0	1	0	0	0	0
OTU1505	0	2	1	2	0	0	0	0	0	3	0	4
OTU666	0	1	1	1	0	2	0	2	0	3	0	0
OTU343	0	0	0	0	0	0	0	1	0	0	0	1
OTU1944	0	0	0	0	0	0	0	1	0	1	0	0
OTU633	0	0	0	0	0	0	0	1	0	4	0	0
OTU318	0	0	0	0	0	0	0	1	0	0	0	0
OTU436	0	3	0	3	0	1	0	6	0	17	0	47
OTU1907	0	0	0	1	0	0	0	2	0	0	0	2
OTU541	0	0	0	0	0	0	0	0	0	3	0	0
OTU1123	0	1	0	2	0	0	0	20	0	19	0	0
OTU635	0	5	0	5	0	12	0	8	0	23	0	19
OTU39	1	22	265	26	12	38	1	29	0	16	11	42
OTU99	0	53	0	56	0	44	0	30	0	47	1	274
OTU192	0	15	0	7	3	15	3	9	22	4	6	1
OTU80	0	22	0	20	0	18	0	89	0	93	0	8
OTU255	0	12	0	14	0	15	0	71	0	90	0	45
OTU349	0	5	0	0	0	1	0	3	0	3	0	1
OTU250	0	2	0	0	0	3	0	17	0	8	0	9
OTU771	69	6	11	7	47	5	19	10	22	45	15	19
OTU1806	0	0	0	0	0	0	0	6	0	0	0	0
OTU223	13	20	17	21	171	25	53	102	59	118	56	120
OTU45	83	73	158	101	7	121	4	7	2	0	0	5
OTU902	16	19	8	14	54	30	51	28	65	39	63	16
OTU2140	0	0	0	0	0	1	0	1	0	0	0	2
OTU47	7	226	5	219	66	270	50	14	11	15	24	8
OTU1507	0	2	0	0	0	0	0	0	0	0	0	0
OTU1117	2	0	0	0	1	0	0	0	0	0	0	0
OTU1100	32	4	9	2	74	6	42	5	23	16	22	5
OTU1920	0	1	29	0	0	7	2	4	3	0	23	0
OTU648	26	0	16	0	2	0	0	0	0	0	0	1
OTU66	82	29	36	34	26	30	63	21	47	4	110	22
OTU269	4	7	0	13	0	8	0	50	3	73	0	33
