#OTU ID	Bn27	Bn28	Bn31	Bn32	Bn35	Bn36	Bn63	Bn64	Bn67	Bn68	Bn71	Bn72
OTU759	0	0	0	0	0	0	0	1	0	0	0	0
OTU1203	1	2	0	0	0	3	0	0	0	0	1	0
OTU1471	0	1	0	0	0	0	0	0	0	0	0	0
OTU1876	0	0	0	0	0	0	0	0	4	0	0	0
OTU1983	0	0	0	0	0	0	0	0	0	0	1	0
OTU1981	1	0	0	0	0	0	0	0	0	0	0	0
OTU1679	0	1	0	0	0	0	0	1	0	1	0	0
OTU1798	0	2	0	0	0	0	0	2	0	0	0	0
OTU1178	0	0	0	0	0	0	0	0	0	0	1	0
OTU789	0	0	0	2	0	0	0	0	0	0	0	0
OTU680	1	0	0	0	0	0	1	0	0	2	0	0
OTU1131	0	0	0	0	1	0	0	0	0	0	0	0
OTU2126	0	0	0	0	0	0	0	1	0	0	0	0
OTU2142	0	0	2	0	1	0	0	0	0	0	2	0
OTU889	1	1	4	5	0	6	0	1	0	1	1	1
OTU1262	0	0	0	0	0	0	0	0	0	0	0	2
OTU911	0	0	0	0	0	0	0	0	1	0	0	0
OTU1101	0	0	0	0	0	0	0	0	0	0	1	0
OTU2086	0	0	0	0	0	0	0	0	0	0	0	2
OTU88	23	8	118	20	136	6	13	9	85	4	10	14
OTU769	1	3	3	3	0	0	0	3	0	0	0	0
OTU95	2	0	8	2	2	2	3	0	0	0	0	0
OTU2123	1	0	0	1	0	0	1	0	0	3	0	1
OTU1223	0	0	0	0	1	0	0	0	0	0	0	0
OTU2072	0	0	0	0	1	0	1	0	0	0	0	0
OTU900	0	0	0	2	0	1	2	1	3	0	0	0
OTU2137	0	0	1	0	1	0	0	0	0	0	0	0
OTU1781	0	0	0	0	0	0	0	0	0	0	3	0
OTU1472	0	3	1	0	0	0	1	1	3	0	0	0
OTU656	5	3	0	5	1	1	2	4	6	2	0	0
OTU355	5	15	7	9	0	2	0	5	4	6	9	7
OTU967	0	0	0	0	1	6	0	0	0	0	9	7
OTU529	5	6	2	4	0	4	0	1	2	3	3	3
OTU658	6	7	8	7	2	8	10	11	16	5	2	6
OTU776	2	1	3	2	3	0	2	3	0	8	2	4
OTU1990	3	0	0	0	3	9	0	0	0	0	2	5
